iter	Passed	Remaining
440	1303	1651
441	1306	1648
442	1308	1645
443	1311	1642
444	1314	1639
445	1317	1636
446	1319	1632
447	1322	1629
448	1325	1627
449	1328	1624
450	1331	1621
451	1334	1617
452	1337	1615
453	1340	1612
454	1343	1609
455	1346	1606
456	1349	1604
457	1352	1600
458	1355	1597
459	1358	1595
460	1361	1592
461	1364	1589
462	1367	1586
463	1370	1582
464	1373	1580
465	1376	1576
466	1378	1573
467	1382	1571
468	1385	1568
469	1387	1565
470	1390	1561
471	1393	1558
472	1396	1555
473	1398	1552
474	1401	1549
475	1404	1545
476	1407	1542
477	1409	1539
478	1412	1536
479	1415	1533
480	1418	1530
481	1420	1527
482	1423	1523
483	1426	1520
484	1429	1517
485	1432	1514
486	1434	1511
487	1437	1508
488	1440	1505
489	1442	1501
490	1445	1498
491	1448	1495
492	1451	1492
493	1454	1489
494	1456	1486
495	1459	1482
496	1462	1480
497	1465	1476
498	1467	1473
499	1470	1470
500	1473	1467
501	1475	1464
502	1478	1460
503	1481	1457
504	1483	1454
505	1486	1451
506	1489	1448
507	1492	1445
508	1496	1443
509	1499	1440
510	1501	1437
511	1504	1433
512	1507	1431
513	1510	1428
514	1513	1425
515	1516	1422
516	1519	1419
517	1522	1416
518	1525	1413
519	1528	1410
520	1531	1407
521	1533	1404
522	1536	1401
523	1539	1398
524	1542	1395
525	1545	1392
526	1548	1389
527	1550	1386
528	1553	1383
529	1556	1380
530	1559	1377
531	1562	1374
532	1565	1371
533	1568	1368
534	1571	1365
535	1574	1362
536	1577	1359
537	1580	1356
538	1582	1353
539	1585	1351
540	1588	1348
541	1591	1345
542	1594	1342
543	1597	1339
544	1600	1336
545	1603	1332
546	1605	1329
547	1608	1326
548	1611	1323
549	1613	1320
550	1616	1317
551	1619	1314
552	1622	1311
553	1624	1308
554	1627	1305
555	1630	1302
556	1634	1299
557	1636	1296
558	1639	1293
559	1642	1290
560	1645	1287
561	1648	1284
562	1651	1281
563	1654	1278
564	1657	1275
565	1659	1272
566	1662	1269
567	1665	1266
568	1668	1263
569	1671	1260
570	1673	1257
571	1676	1254
572	1679	1251
573	1682	1248
574	1684	1245
575	1688	1242
576	1691	1239
577	1694	1236
578	1697	1233
579	1700	1231
580	1702	1228
581	1705	1225
582	1708	1222
583	1711	1219
584	1714	1216
585	1717	1213
586	1719	1210
587	1722	1206
588	1725	1203
589	1727	1200
590	1730	1197
591	1733	1194
592	1736	1191
593	1739	1188
594	1741	1185
595	1744	1182
596	1747	1179
597	1750	1176
598	1752	1173
599	1755	1170
600	1758	1167
601	1761	1164
602	1764	1161
603	1767	1158
604	1770	1155
605	1773	1152
606	1776	1150
607	1779	1147
608	1781	1143
609	1784	1140
610	1787	1137
611	1790	1135
612	1793	1132
613	1795	1129
614	1798	1126
615	1801	1122
616	1804	1119
617	1806	1116
618	1809	1113
619	1812	1110
620	1815	1107
621	1817	1104
622	1820	1101
623	1823	1098
624	1826	1095
625	1828	1092
626	1831	1089
627	1834	1086
628	1836	1083
629	1839	1080
630	1842	1077
631	1845	1074
632	1847	1071
633	1850	1068
634	1853	1065
635	1856	1062
636	1859	1059
637	1861	1056
638	1864	1053
639	1867	1050
640	1870	1047
641	1872	1044
642	1875	1041
643	1878	1038
644	1880	1035
645	1883	1032
646	1886	1029
647	1888	1026
648	1891	1023
649	1894	1020
650	1897	1017
651	1900	1014
652	1903	1011
653	1906	1008
654	1909	1005
655	1911	1002
656	1914	999
657	1917	996
658	1920	993
659	1922	990
660	1925	987
661	1928	984
662	1931	981
663	1933	978
664	1936	975
665	1939	972
666	1942	969
667	1944	966
668	1947	963
669	1950	960
670	1953	957
671	1955	954
672	1958	951
673	1961	948
674	1964	945
675	1966	942
676	1969	939
677	1972	936
678	1975	933
679	1977	930
680	1980	927
681	1983	924
682	1986	921
683	1989	918
684	1991	915
685	1994	912
686	1997	909
687	2000	907
688	2003	904
689	2006	901
690	2010	899
691	2013	896
692	2016	893
693	2019	890
694	2022	887
695	2025	884
696	2028	881
697	2031	879
698	2034	876
699	2037	873
700	2040	870
701	2043	867
702	2046	864
703	2048	861
704	2051	858
705	2054	855
706	2057	852
707	2059	849
708	2062	846
709	2065	843
710	2068	840
711	2071	837
712	2074	834
713	2077	832
714	2079	829
715	2082	826
716	2085	823
717	2088	820
718	2091	817
719	2093	814
720	2096	811
721	2099	808
722	2102	805
723	2105	802
724	2108	799
725	2111	796
726	2114	793
727	2116	790
728	2119	787
729	2122	784
730	2125	782
731	2127	779
732	2130	776
733	2133	773
734	2136	770
735	2139	767
736	2142	764
737	2145	761
738	2149	759
739	2152	756
740	2156	753
741	2159	750
742	2163	748
743	2165	745
744	2169	742
745	2172	739
746	2175	736
747	2177	733
748	2180	730
749	2183	727
750	2186	725
751	2189	722
752	2192	719
753	2194	716
754	2197	713
755	2200	710
756	2203	707
757	2205	704
758	2208	701
759	2211	698
760	2214	695
761	2216	692
762	2219	689
763	2222	686
764	2224	683
765	2227	680
766	2230	677
767	2233	674
768	2236	671
769	2239	668
770	2242	665
771	2244	662
772	2247	660
773	2250	657
774	2253	654
775	2256	651
776	2258	648
777	2261	645
778	2264	642
779	2267	639
780	2270	636
781	2272	633
782	2275	630
783	2278	627
784	2281	624
785	2284	621
786	2286	618
787	2289	615
788	2292	613
789	2295	610
790	2298	607
791	2301	604
792	2304	601
793	2306	598
794	2310	595
795	2313	592
796	2316	589
797	2318	586
798	2321	584
799	2324	581
800	2326	578
801	2329	575
802	2332	572
803	2335	569
804	2337	566
805	2340	563
806	2343	560
807	2346	557
808	2348	554
809	2351	551
810	2354	548
811	2356	545
812	2359	542
813	2362	539
814	2365	536
815	2367	533
816	2370	531
817	2373	528
818	2376	525
819	2379	522
820	2381	519
821	2384	516
822	2387	513
823	2390	510
824	2392	507
825	2395	504
826	2398	501
827	2401	498
828	2403	495
829	2406	492
830	2409	489
831	2412	487
832	2414	484
833	2417	481
834	2420	478
835	2422	475
836	2425	472
837	2428	469
838	2431	466
839	2433	463
840	2436	460
841	2439	457
842	2441	454
843	2444	451
844	2447	448
845	2450	445
846	2452	443
847	2455	440
848	2458	437
849	2460	434
850	2463	431
851	2466	428
852	2468	425
853	2471	422
854	2474	419
855	2477	416
856	2480	413
857	2483	411
858	2486	408
859	2489	405
860	2491	402
861	2495	399
862	2498	396
863	2501	393
864	2504	390
865	2507	387
866	2510	385
867	2513	382
868	2516	379
869	2518	376
870	2521	373
871	2524	370
872	2527	367
873	2530	364
874	2533	361
875	2535	358
876	2538	356
877	2541	353
878	2544	350
879	2546	347
880	2549	344
881	2552	341
882	2554	338
883	2557	335
884	2560	332
885	2563	329
886	2565	326
887	2568	323
888	2571	321
889	2574	318
890	2577	315
891	2580	312
892	2583	309
893	2585	306
894	2588	303
895	2591	300
896	2594	297
897	2596	294
898	2599	292
899	2602	289
900	2605	286
901	2608	283
902	2610	280
903	2613	277
904	2616	274
905	2620	271
906	2623	268
907	2626	266
908	2629	263
909	2631	260
910	2635	257
911	2639	254
912	2643	251
913	2647	249
914	2651	246
915	2655	243
916	2659	240
917	2665	238
918	2670	235
919	2678	232
920	2682	230
921	2687	227
922	2692	224
923	2696	221
924	2699	218
925	2703	216
926	2708	213
927	2712	210
928	2716	207
929	2720	204
930	2724	201
931	2728	199
932	2732	196
933	2735	193
934	2739	190
935	2742	187
936	2745	184
937	2749	181
938	2753	178
939	2756	175
940	2760	173
941	2763	170
942	2768	167
943	2771	164
944	2775	161
945	2778	158
946	2782	155
947	2786	152
948	2789	149
949	2793	147
950	2797	144
951	2800	141
952	2804	138
953	2807	135
954	2810	132
955	2813	129
956	2817	126
957	2820	123
958	2823	120
959	2826	117
960	2830	114
961	2833	111
962	2836	108
963	2839	106
964	2842	103
965	2846	100
966	2849	97
967	2852	94
968	2856	91
969	2860	88
970	2863	85
971	2867	82
972	2870	79
973	2873	76
974	2877	73
975	2880	70
976	2883	67
977	2887	64
978	2890	61
979	2893	59
980	2896	56
981	2898	53
982	2902	50
983	2905	47
984	2908	44
985	2911	41
986	2913	38
987	2918	35
988	2923	32
989	2927	29
990	2931	26
991	2934	23
992	2937	20
993	2941	17
994	2944	14
995	2947	11
996	2950	8
997	2953	5
998	2957	2
999	2960	0
