iter	RMSE
377	0.1520789652
378	0.1520342486
379	0.1520006038
380	0.1519830219
381	0.1519209441
382	0.1519037445
383	0.1518868346
384	0.1518334963
385	0.151805487
386	0.1517738006
387	0.1517255579
388	0.1516928078
389	0.1516608682
390	0.151569448
391	0.1515223572
392	0.1514590815
393	0.1513612172
394	0.1513321441
395	0.151287823
396	0.1512447083
397	0.1512120044
398	0.1512000318
399	0.1511778641
400	0.1511661505
401	0.1511242493
402	0.1510850995
403	0.151035886
404	0.1509543896
405	0.1509368779
406	0.150893955
407	0.1508655392
408	0.1508369016
409	0.1507847559
410	0.1507474287
411	0.1507240267
412	0.1506914783
413	0.1505911251
414	0.1505277547
415	0.1504964452
416	0.1504651373
417	0.1504271562
418	0.1504000932
419	0.1503559595
420	0.1502885521
421	0.150257207
422	0.1501957305
423	0.1501258694
424	0.1500900286
425	0.1500462584
426	0.1500112756
427	0.1499860779
428	0.1499327869
429	0.1499035998
430	0.149875654
431	0.1498418445
432	0.1498175368
433	0.1497808103
434	0.1497114271
435	0.1496791761
436	0.1496387685
437	0.1495981569
438	0.1495228126
439	0.1495030553
440	0.1494449594
441	0.1493944353
442	0.1493577821
443	0.1493282195
444	0.1493045367
445	0.1492637121
446	0.1492199291
447	0.149155829
448	0.1491256127
449	0.1490538478
450	0.1490315318
451	0.1490125919
452	0.1489611137
453	0.148932657
454	0.1489056956
455	0.1488125703
456	0.1487776111
457	0.1487460268
458	0.1486789356
459	0.1486337169
460	0.1485970569
461	0.148567041
462	0.1484854023
463	0.1484402452
464	0.1484056754
465	0.148347085
466	0.1483313598
467	0.1482807797
468	0.1482436333
469	0.1482027783
470	0.1481778837
471	0.1481060487
472	0.1480524507
473	0.1480293848
474	0.148004697
475	0.1479764916
476	0.1479208451
477	0.1478755863
478	0.1478296702
479	0.1477986377
480	0.1477584546
481	0.1477317913
482	0.1476935257
483	0.1476437132
484	0.1476163535
485	0.1475893997
486	0.1475438031
487	0.1474840301
488	0.1474306067
489	0.1473806591
490	0.1473610698
491	0.1473152532
492	0.147295376
493	0.1472705413
494	0.1472417116
495	0.1472107633
496	0.1471563725
497	0.1471103854
498	0.1470799428
499	0.1470530626
500	0.1470254346
501	0.1470094611
502	0.1469658493
503	0.1469263107
504	0.1468975778
505	0.1468615684
506	0.1468477587
507	0.1468279525
508	0.146790098
509	0.1467428657
510	0.1467214252
511	0.1466728614
512	0.1466084969
513	0.1465736333
514	0.1465424407
515	0.1464845806
516	0.1464772804
517	0.1464309974
518	0.1463989959
519	0.1463675601
520	0.146320346
521	0.146298464
522	0.1462440167
523	0.1462205471
524	0.1462009412
525	0.1461603054
526	0.1460883849
527	0.1460558515
528	0.1460367836
529	0.1460198795
530	0.1459816774
531	0.1459357318
532	0.1458978001
533	0.1458280592
534	0.1457655756
535	0.1457447877
536	0.1457350599
537	0.1457186324
538	0.145667501
539	0.1456459341
540	0.1456072075
541	0.1455678677
542	0.1455414076
543	0.145515986
544	0.1454743669
545	0.1454063566
546	0.1453773068
547	0.1453452898
548	0.1452942085
549	0.1452037868
550	0.1451565939
551	0.1451127225
552	0.1450613582
553	0.1449828785
554	0.1449607652
555	0.1449141321
556	0.1448829613
557	0.1448484179
558	0.144822821
559	0.1447928634
560	0.1447716508
561	0.1447292847
562	0.1447071152
563	0.1446749052
564	0.1446453564
565	0.1446155368
566	0.1445732836
567	0.1445446378
568	0.1445057212
569	0.1444901055
570	0.1444419445
571	0.1444042757
572	0.1443881416
573	0.1443449902
574	0.1442728778
575	0.1442334749
576	0.1442144984
577	0.1441849712
578	0.144164689
579	0.1441417878
580	0.1441058832
581	0.1440648279
582	0.1440263555
583	0.1439901342
584	0.1439741766
585	0.1439422408
586	0.1438735658
587	0.1438525762
588	0.1438361173
589	0.1438061627
590	0.1437905455
591	0.1437691746
592	0.1437424177
593	0.1437201991
594	0.1436945754
595	0.1436738674
596	0.1435993718
597	0.1435483097
598	0.143513329
599	0.1434889283
600	0.1434547455
601	0.1434353662
602	0.1433997843
603	0.1433374365
604	0.1433078144
605	0.1432912932
606	0.1432716367
607	0.1432220947
608	0.1431905544
609	0.1431625661
610	0.1431289778
611	0.1431072266
612	0.143080596
613	0.1430469505
614	0.1430001421
615	0.1429650005
616	0.1429405229
617	0.1428984
618	0.1428396599
619	0.1428239825
620	0.1428106085
621	0.1427747467
622	0.1427578652
623	0.1427334853
624	0.1427250963
625	0.1426987187
626	0.1426636779
627	0.142629311
628	0.1425982788
629	0.1425534988
630	0.1425466098
631	0.1425259615
632	0.1425133872
633	0.1424755026
634	0.1424190085
635	0.1423830686
636	0.1423594595
637	0.1423391421
638	0.1423244463
639	0.1422796
640	0.1422373546
641	0.1422228252
642	0.1421900168
643	0.1421346573
644	0.1420742456
645	0.1420426792
646	0.1420150713
647	0.1419835387
648	0.1419765748
649	0.1419426395
650	0.1419293661
651	0.1418927356
652	0.1418778339
653	0.1418458587
654	0.141839686
655	0.1417819521
656	0.141764249
657	0.1417406738
658	0.1417124903
659	0.1416815714
660	0.1416457807
661	0.1415964613
662	0.1415438483
663	0.1415126185
664	0.1414477189
665	0.1413959825
666	0.1413770247
667	0.1413533102
668	0.1413199383
669	0.1413028629
670	0.1412800861
671	0.1412232825
672	0.1411797717
673	0.1411493121
674	0.1411339262
675	0.1410721853
676	0.1410557362
677	0.1410473202
678	0.1410136388
679	0.1409628567
680	0.1409283344
681	0.1409152461
682	0.1408860113
683	0.1408624632
684	0.1408079755
685	0.1407868988
686	0.1407270486
687	0.1407144262
688	0.140692522
689	0.1406476549
690	0.1406416962
691	0.1406096445
692	0.140592182
693	0.1405611385
694	0.1405408962
695	0.1405283224
696	0.1404708857
697	0.1404221775
698	0.1403944872
699	0.1403736395
700	0.1403332576
701	0.140309671
702	0.140300772
703	0.1402825541
704	0.1402625185
705	0.1402210861
706	0.1402067197
707	0.1401833696
708	0.1401635652
709	0.1401215737
710	0.1401047848
711	0.1400700477
712	0.140050959
713	0.1399946193
714	0.1399617693
715	0.139935264
716	0.139897542
717	0.1398784068
718	0.1398332802
719	0.1397915049
720	0.13977307
721	0.1397625228
722	0.1397163379
723	0.1396992827
724	0.1396080112
725	0.1395426092
726	0.1395156116
727	0.1394811885
728	0.1394643906
729	0.1394074543
730	0.1393598542
731	0.1393393571
732	0.1393106962
733	0.1392726684
734	0.1392185686
735	0.1392034665
736	0.1391575867
737	0.1391158251
738	0.1390963576
739	0.1390731257
740	0.1390259521
741	0.139005274
742	0.1389639604
743	0.1389271077
744	0.1389027923
745	0.1388813934
746	0.1388168017
747	0.1387858636
748	0.138723137
749	0.1387006186
750	0.1386697421
751	0.1386332798
752	0.1386175672
753	0.1386001397
754	0.1385603357
755	0.1385413993
756	0.1385132954
757	0.1384935429
758	0.138452078
759	0.1384304914
760	0.13838859
761	0.1383593713
762	0.1383386233
763	0.1383162437
764	0.1382961542
765	0.1382651322
766	0.1382030265
767	0.1381471438
768	0.1381206933
769	0.1380876792
770	0.1380335976
771	0.1379919822
772	0.1379735745
773	0.1379354377
774	0.1378951969
775	0.1378689557
776	0.1378501386
777	0.1378281364
778	0.1377957182
779	0.1377573423
780	0.1377200815
781	0.1376938808
782	0.1376439296
783	0.1376216001
784	0.1376004814
785	0.1375706078
786	0.1375254884
787	0.1374819907
788	0.1374667717
789	0.1374481222
790	0.1374100212
791	0.1373478222
792	0.1373130931
793	0.137291822
794	0.1372786449
795	0.1372581289
796	0.1372053291
797	0.1371935232
798	0.1371596217
799	0.1370839892
800	0.1370568545
801	0.1370219796
802	0.1369804653
803	0.136966543
804	0.1369278332
805	0.1369154462
806	0.1368731163
807	0.13682047
808	0.1367920165
809	0.1367351443
810	0.1367146539
811	0.1366853207
812	0.1366340466
813	0.1366239249
814	0.1365800679
815	0.1365400777
816	0.1365131734
817	0.1364872205
818	0.1364207924
819	0.1363982838
820	0.136364006
821	0.1363450941
822	0.1363142083
823	0.1362762212
824	0.1362406609
825	0.1361908781
826	0.1361734045
827	0.1361374147
828	0.1361108371
829	0.1360753141
830	0.1360321296
831	0.1359780036
832	0.1359575856
833	0.1359389579
834	0.1359107597
835	0.1358761122
836	0.1358507973
837	0.13581164
838	0.1357966497
839	0.1357503422
840	0.1357281743
841	0.1356850998
842	0.1356244892
843	0.1356072185
844	0.135593605
845	0.1355868015
846	0.1355670398
847	0.1355480576
848	0.1355161622
849	0.1355029494
850	0.1354410543
851	0.1353957891
852	0.1353837662
853	0.1353296138
854	0.1353047123
855	0.1352936556
856	0.1352422487
857	0.1352292205
858	0.1352190588
859	0.1352006763
860	0.1351825412
861	0.135162688
862	0.1351204381
863	0.1350757342
864	0.1350364172
865	0.1349827048
866	0.1349480235
867	0.1349047445
868	0.1348584592
869	0.1348412577
870	0.1348118387
871	0.1347668703
872	0.1347143623
873	0.1346751618
874	0.1346550217
875	0.1346234362
876	0.1345971273
877	0.1345741028
878	0.1345369176
879	0.1345090242
880	0.1344659956
881	0.1344119037
882	0.1343716013
883	0.1343418016
884	0.1343209396
885	0.1342765834
886	0.1342494075
887	0.1342105359
888	0.1341930432
889	0.134159476
890	0.134125664
891	0.1341002751
892	0.1340787877
893	0.1340687808
894	0.1340417888
895	0.134012163
896	0.1339858582
897	0.1339443788
898	0.1339276074
899	0.1339044729
900	0.1338836993
901	0.1338675926
902	0.1338480932
903	0.1338140675
904	0.1337918664
905	0.133774598
906	0.1337578637
907	0.13373824
908	0.133720949
909	0.133708824
910	0.1336745706
911	0.1336421783
912	0.1336265801
913	0.1336064541
914	0.1335574348
915	0.1335511167
916	0.1335174613
917	0.133487723
918	0.1334543689
919	0.1334361061
920	0.1333930754
921	0.1333870597
922	0.1333601463
923	0.1332987049
924	0.133252446
925	0.1332312167
926	0.1331944466
927	0.133149411
928	0.1331248799
929	0.1330920953
930	0.1330708165
931	0.1330354808
932	0.1330058837
933	0.1329703877
934	0.1329561188
935	0.1329293922
936	0.1328930684
937	0.1328756323
938	0.132845572
939	0.1328012541
940	0.1327780194
941	0.1327508493
942	0.1327191154
943	0.132692383
944	0.1326790896
945	0.1326265915
946	0.1325982444
947	0.1325469581
948	0.1324902683
949	0.1324811209
950	0.1324367962
951	0.1324201709
952	0.1324062322
953	0.1323977436
954	0.1323767244
955	0.1323541183
956	0.1323257054
957	0.1322797252
958	0.1322210492
959	0.1321796198
960	0.1321337631
961	0.1321206516
962	0.1321067087
963	0.1320887921
964	0.1320456194
965	0.1320256522
966	0.1319981241
967	0.1319742823
968	0.1319490322
969	0.1319217193
970	0.1319015698
971	0.1318785777
972	0.1318319765
973	0.1317858478
974	0.1317750404
975	0.1317187976
976	0.1316961612
977	0.1316749544
978	0.1316232837
979	0.1315793435
980	0.1315728117
981	0.1315426927
982	0.1314999711
983	0.1314759662
984	0.1314619023
985	0.131419304
986	0.131386001
987	0.1313725447
988	0.1313562203
989	0.1312945434
990	0.1312596009
991	0.1312248473
992	0.1312092858
993	0.1311925141
994	0.1311725741
995	0.1311554434
996	0.1311354459
997	0.1311211481
998	0.1311054032
999	0.1310858527
